Code,MthEnd,MthFwdReturn,MthEndMCap
SPG,31-10-2010,3.4002,28116.6
T,31-10-2010,-2.5596,168524.7
TGT,31-10-2010,10.1192,37472
TWX,31-10-2010,-8.6535,36548.3
TXN,31-10-2010,7.5414,35341.9
UNH,31-10-2010,1.3037,40529.9
UNP,31-10-2010,3.2049,43239.3
UPS,31-10-2010,4.8622,66713.4
USB,31-10-2010,-1.7355,46395.3
UTX,31-10-2010,1.2497,69043.1
V,31-10-2010,-5.3272,57101.4
VZ,31-10-2010,-1.447,91813.9
WBA,31-10-2010,3.3758,31499.7
WFC,31-10-2010,4.6102,136383.1
WMT,31-10-2010,-0.1477,196991.8
XOM,31-10-2010,5.269,338554.1
0848680D,31-10-2010,-8.3636,12166.8
AA,31-10-2010,0.1139,13421.7
AEP,31-10-2010,-3.7301,17950.1
AVP,31-10-2010,-5.505,13068.5
BAX,31-10-2010,-4.6731,29762
BHI,31-10-2010,12.3654,20011.1
CPB,31-10-2010,-6.4828,12179.8
DD,31-10-2010,0.2501,43161.6
DELL,31-10-2010,-8.1626,27994.1
DOW,31-10-2010,1.1025,35769.9
DVN,31-10-2010,8.5358,28283.7
EMC,31-10-2010,2.236,43164.9
ETR,31-10-2010,-3.3399,13923.4
FCX,31-10-2010,6.8833,44595
HNZ,31-10-2010,-1.7104,15633.4
HPQ,31-10-2010,-0.2617,95335.9
HSH,31-10-2010,5.4738,9160.4
NOV,31-10-2010,14.0067,22529.8
NSC,31-10-2010,-1.5797,22343.8
NYX,31-10-2010,-10.8355,7997
RF,31-10-2010,-14.6032,7912.4
WMB,31-10-2010,6.0437,12578.5
WY,31-10-2010,3.211,8693.9
XRX,31-10-2010,-2.0429,16228.8
AAPL,30-11-2010,3.667,285420.1
ABBV,30-11-2010,NA,NA
ABT,30-11-2010,3.0101,71895.9
ACN,30-11-2010,11.9344,30482.7
AGN,30-11-2010,5.9705,6458.7
AIG,30-11-2010,39.5495,28820.9
ALL,30-11-2010,9.5156,15666.5
AMGN,30-11-2010,4.1943,49782.3
AMZN,30-11-2010,2.6226,78726
AXP,30-11-2010,-0.6941,52026.7
BA,30-11-2010,2.3365,46780.4
BAC,30-11-2010,21.9344,110432.4
BIIB,30-11-2010,4.8148,15244.2
BK,30-11-2010,11.8933,33479.9
BLK,30-11-2010,17.6178,31151.8
BMY,30-11-2010,4.9128,43202.9
BRK/B,30-11-2010,0.5397,197627.1
C,30-11-2010,12.6191,122010.7
CAT,30-11-2010,10.7092,53695.9
CELG,30-11-2010,-0.4042,27946.6
CHTR,30-11-2010,16.1695,3767.5
CL,30-11-2010,4.9902,36949.4
CMCSA,30-11-2010,9.6581,55137.6
COF,30-11-2010,14.3164,17011.4
COP,30-11-2010,13.1793,88403.2
COST,30-11-2010,6.8037,29230.1
CSCO,30-11-2010,5.5846,106199.3
CVS,30-11-2010,12.1613,42122.8
CVX,30-11-2010,12.6961,162946.3
DHR,30-11-2010,9.1098,28283.5
DIS,30-11-2010,3.8575,69134.7
DUK,30-11-2010,1.4815,23245.8
DWDP,30-11-2010,9.9731,36191.1
EMR,30-11-2010,3.8133,41448.8
EXC,30-11-2010,5.7658,26039.8
F,30-11-2010,5.3325,55354.1
FB,30-11-2010,NA,NA
FDX,30-11-2010,2.0742,28670.2
FOX,30-11-2010,7.7428,37081.4
FOXA,30-11-2010,6.7449,37081.4
GD,30-11-2010,7.3687,24965.1
GE,30-11-2010,16.4358,168664.2
GILD,30-11-2010,-0.7123,29633.2
GM,30-11-2010,7.7778,53752.1
GOOG,30-11-2010,NA,177702.2
GOOGL,30-11-2010,6.8849,177702.2
GS,30-11-2010,7.6982,84366.4
HAL,30-11-2010,8.1495,34416.8
HD,30-11-2010,16.0543,50308.7
HON,30-11-2010,6.9403,38782.4
IBM,30-11-2010,3.7466,175744.4
INTC,30-11-2010,-0.6026,118016.5
JNJ,30-11-2010,0.4874,169031.9
JPM,30-11-2010,13.4225,146203.4
KHC,30-11-2010,NA,NA
KMI,30-11-2010,NA,NA
KO,30-11-2010,4.1159,146682.9
LLY,30-11-2010,4.0998,38814.8
LMT,30-11-2010,2.7484,24503.1
LOW,30-11-2010,10.4846,31854.4
MA,30-11-2010,-5.4508,31022.8
MCD,30-11-2010,-1.9668,82724.5
MDLZ,30-11-2010,5.1224,52839.9
MDT,30-11-2010,10.6174,36208.6
MET,30-11-2010,16.4876,37587.5
MMM,30-11-2010,2.7626,60033.9
MO,30-11-2010,4.152,50107.9
MON,30-11-2010,16.2216,32140.6
MRK,30-11-2010,5.6553,106198
MS,30-11-2010,11.2429,37005
MSFT,30-11-2010,10.5018,216091.1
NEE,30-11-2010,2.7064,21180.4
NKE,30-11-2010,-0.4743,41159.2
ORCL,30-11-2010,15.733,135958.3
OXY,30-11-2010,11.7275,71645.7
PCLN,30-11-2010,1.3958,19346.3
PEP,30-11-2010,1.8224,102428.3
PFE,30-11-2010,7.4233,130562.2
PG,30-11-2010,5.3381,170946.7
PM,30-11-2010,4.0087,103220.8
PYPL,30-11-2010,NA,NA
QCOM,30-11-2010,5.7027,75741.3
RTN,30-11-2010,0.1946,16860.1
SBUX,30-11-2010,5,22647.1
SLB,30-11-2010,7.9648,105521.1
SO,30-11-2010,1.3521,31634.7
SPG,30-11-2010,1.0051,28850.8
T,30-11-2010,5.7215,164238.9
TGT,30-11-2010,5.6024,41079.2
TWX,30-11-2010,9.0878,32713.2
TXN,30-11-2010,2.2013,37338.2
UNH,30-11-2010,-0.7959,40169.7
UNP,30-11-2010,2.8299,44437.6
UPS,30-11-2010,3.4935,69354
USB,30-11-2010,13.6244,45617.3
UTX,30-11-2010,4.5835,69504.9
V,30-11-2010,-4.6987,53952.6
VZ,30-11-2010,11.7776,90485.3
WBA,30-11-2010,11.7934,32401.6
WFC,30-11-2010,13.892,142818.6
WMT,30-11-2010,0.2577,196700.8
XOM,30-11-2010,5.1179,350760.2
0848680D,30-11-2010,11.9048,11158.7
AA,30-11-2010,17.2571,13406.4
AEP,30-11-2010,1.0674,17097.8
AVP,30-11-2010,1.7507,12257.4
